# English-Arabic translations created from the Universal dictionary at 2010-02-01T05:09:30-07:00
# (c) Copyright 2010 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 نيسان % أبريل 	 time 
 answer ; reply ; respond 	 أجاب 	 verb 
 answer ; reply ; response 	 جواب 	 communication 
 ant ; emmet ; pismire 	 نملة 	 animal 
 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 صاله، ردهه 	 house 
 any ; whatever ; whatsoever 	 اختياري 	 adjective 
 anyone 	 أحد 	 pronoun 
 anything 	 أي شيء 	 pronoun 
 apartment ; flat 	 شقة 	 society 
 apparel ; wearing apparel ; dress ; clothes 	 فستان 	 clothes 
 apple 	 تفاحة 	 food 
 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 تقريباً 	 adverb 
 area ; expanse ; surface area 	 مساحه 	 mathematics 
 argue ; contend ; debate ; fence 	 جدال 	 verb 
 argue ; reason 	 برهن 	 verb 
 argument ; statement 	 برهان 	 communication 
 arm 	 ذراع 	 anatomy 
 army ; regular army ; ground forces 	 جيش 	 society 
 arrangement ; organization ; organisation ; system 	 منظمة 	 society 
 arrive ; make it ; get in ; go far 	 وصل 	 verb 
 art ; fine art 	 فن 	 art 
 artist ; creative person 	 فنان، رسام، نحات 	 profession 
 ask ; inquire ; enquire 	 يسأل 	 verb 
 aspect 	 هيئة 	 abstract 
 assail ; assault ; set on ; attack 	 هاجم 	 verb 
 astute ; sharp ; shrewd 	 فطن 	 adjective 
 at 	 عند 	 preposition 
 attack ; onslaught ; onset ; onrush 	 هجوم 	 abstract 
 attempt ; effort ; endeavor ; endeavour ; try 	 محاولة 	 abstract 
 attention ; attending 	 انتباه 	 communication 
 attitude ; mental attitude 	 موقِف 	 abstract 
 audio ; sound 	 سمعي 	 abstract 
 aureate ; gilded ; gilt ; gold ; golden 	 ذهبي 	 color 
 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 سلطة 	 society 
 automatic 	 آلي 	 adjective 
 available 	 متيسِر، متاح، متوفِر 	 adjective 
 avoid 	 تجنب 	 verb 
 awake 	 مستيقظ 	 adjective 
 award ; accolade ; honor ; honour ; laurels 	 جائزة 	 society 
 baby ; babe ; infant 	 رضيع 	 family 
 back 	 خلف 	 clothes 
 back ; dorsum 	 ظهر 	 anatomy 
 bad 	 سيئ 	 adjective 
 bag 	 حقيبة 	 object 
 bag ; handbag ; pocketbook ; purse 	 الحقيبة 	 clothes 
 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 الحقيبة 	 clothes 
 balance 	 ميزان 	 physics 
 ball 	 كرة 	 object 
 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 عظيم 	 adjective 
 bank 	 ضفة ضِفة النهر 	 nature 
 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 وحشي 	 adjective 
 bargain ; deal 	 إتفاق على بيع وشِراء 	 business 
 base ; base of operations 	 قاعدة 	 society 
 baseball ; baseball game 	 كرة القاعدة ; كرة القاعدة ؛ بيسبول 	 sports 
 basic 	 قاعدي 	 adjective 
 basket ; handbasket 	 سلة 	 object 
 bath 	 حمام 	 house 
 bathroom ; bath 	 الحمّام 	 house 
 be 	 كان 	 verb 
 be ; live 	 يحيا 	 verb 
 beach 	 شاطئ ; شّاطئ 	 nature 
 beak ; bill ; neb ; nib ; pecker 	 منقار 	 anatomy 
 bear 	 دب 	 animal 
 bear 	 يحمِل 	 verb 
 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 انتصر 	 verb 
 beautiful 	 جميل 	 adjective 
 because 	 لأن 	 conjunction 
 become ; go ; get 	 أصبح 	 verb 
 bed 	 سرير 	 house 
 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 غرفة نوم 	 house 
 bee 	 نحلة 	 animal 
 beer 	 بيرة 	 food 
 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 بداية 	 abstract 
 beginning ; origin ; root ; rootage ; source 	 مصدر 	 transport 
 behind 	 خلف، وراء 	 adverb 
 being ; beingness ; existence 	 وجود 	 society 
 bell 	 جرس 	 object 
 beloved ; dear ; dearest ; honey ; love 	 عزيز 	 relations 
 bend ; curve 	 منحنى 	 transport 
 benefit ; do good 	 يفيد، ينفع 	 verb 
 beside 	 بجانب 	 preposition 
 besides ; too ; also ; likewise ; as well 	 أيضاً 	 adverb 
 best 	 أفضل ، الأفضل 	 adjective 
 better 	 أفضل، أحسن 	 adjective 
 between ; betwixt 	 بين 	 adverb 
 beverage ; drink ; drinkable ; potable 	 شراب 	 food 
 bicycle ; bike ; wheel ; cycle 	 دراجة 	 object 
 bill ; account ; invoice 	 حساب 	 business 
 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 ورقة نقدية 	 business 
 biology ; biological science 	 علم الأحياء 	 science 
 bird 	 طائر 	 animal 
 birth ; nativity ; nascency ; nascence 	 ولادة 	 nature 
 birthday 	 يوم ميلاد ; عيد ميلاد 	 family 
 bit ; chip ; flake ; fleck ; scrap 	 قطعة 	 object 
 bite 	 عضة 	 medicine 
 bite ; seize with teeth 	 عض 	 verb 
 bitter 	 مر 	 adjective 
 black 	 أسود 	 adjective 
 blade 	 نصل 	 object 
 blessing ; approval ; approving 	 استحسان 	 communication 
 blood 	 دم 	 anatomy 
 blow 	 ضربة 	 abstract 
 blue ; bluish ; blueish 	 أزرق 	 color 
 board 	 لوح 	 object 
 boat 	 قارب 	 object 
 bone ; os 	 عظم 	 anatomy 
 book ; volume 	 كتاب 	 object 
 boot 	 جزمة 	 clothes 
 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 ممل 	 adjective 
 bottle 	 قارورة 	 food 
 box 	 صندوق 	 object 
 boyfriend ; fellow ; beau ; swain ; young man 	 صديق، رفيق، خليل 	 family 
 brain ; encephalon 	 دماغ 	 anatomy 
 branch 	 فرع 	 nature 
 brand ; make 	 نمط 	 abstract 
 bread ; breadstuff ; staff of life 	 خبز 	 food 
 break 	 كسر 	 verb 
 breakfast 	 إفطار 	 food 
 breast ; chest 	 صدر 	 anatomy 
 breath 	 نفس 	 anatomy 
 brick 	 قرميد 	 house 
 bridge ; span 	 جسر 	 object 
 bright ; brilliant ; vivid 	 لامع 	 adjective 
 broken 	 مكسور 	 adjective 
 brother ; blood brother 	 أخ 	 family 
 brow ; forehead 	 جبهة 	 anatomy 
 brown ; brownish ; chocolate-brown ; dark-brown 	 بني 	 color 
 brush 	 فرشاة 	 object 
 brusque ; brusk ; curt ; short 	 قصير 	 adjective 
 building ; edifice 	 بناء 	 city 
 bulk ; mass ; volume 	 حجم 	 physics 
 burn ; fire ; burn down 	 أشعل 	 verb 
 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 باص ; حافلة ؛ باص 	 transport 
 business ; concern ; business concern ; business organization ; business organisation 	 أعمال 	 business 
 businessman ; man of affairs 	 رجل أعمال 	 profession 
 butter 	 زبدة 	 food 
 buy ; purchase 	 اشترى 	 verb 
 by ; past 	 عبر 	 adverb 
 by and large ; generally ; more often than not ; mostly 	 بصورة عامه 	 adverb 
 cake 	 كعك 	 food 
 calendar month ; month 	 شهر 	 time 
 call ; phone call ; telephone call 	 مكالمه هاتفيه، إتِصال هاتفي 	 communication 
 call ; telephone ; call up ; phone ; ring 	 اتصل 	 verb 
 camera ; photographic camera 	 آلة تصوير 	 object 
 campaign ; cause ; crusade ; drive ; movement ; effort 	 حملةٌ عسكرِيه 	 abstract 
 can ; tin ; tin can 	 صفيحة 	 object 
 capital 	 عاصمة 	 society 
 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 حرفٌ كبير 	 linguistics 
 capital ; working capital 	 عاصمة 	 business 
 car ; auto ; automobile ; machine ; motorcar 	 سيارة 	 transport 
 carbohydrate ; saccharide ; sugar 	 سكر 	 food 
 card 	 بطاقة 	 object 
 cardinal ; central ; fundamental ; key ; primal 	 أساسي 	 adjective 
 care 	 اهتم 	 verb 
 care ; attention ; aid ; tending 	 انتباه 	 abstract 
 case ; instance ; example 	 حاله 	 abstract 
 castle 	 قلعة 	 city 
 cat ; true cat 	 قط 	 animal 
 catch ; grab ; take hold of 	 أمسك 	 verb 
 cause 	 سبب 	 abstract 
 cell 	 خلية 	 anatomy 
 cell ; jail cell ; prison cell 	 زنزانة 	 society 
 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 هاتف نقال 	 device 
 center ; centre ; middle ; heart ; eye 	 مركز 	 mathematics 
 century 	 مِئة سنه 	 time 
 certain ; sure 	 يقيني 	 adjective 
 chain 	 سلسلة 	 object 
 chair 	 كرسي 	 house 
 championship ; title 	 بطولة 	 sports 
 change 	 فكة 	 business 
 change ; alter ; modify 	 غير 	 verb 
 change ; alteration ; modification 	 تغيير 	 abstract 
 charge 	 سِعلر، ثمن 	 business 
 charge ; accuse 	 يتهِم 	 verb 
 charge ; bill 	 يطلب سِعرا 	 verb 
 charge ; complaint 	 تهمه، إتِهام 	 society 
 charge ; electric charge 	 شحنةٌ كهربائِيه 	 nature 
 cheap ; inexpensive 	 رخيص 	 adjective 
 check ; bank check ; cheque 	 شيك مصرفي 	 business 
 cheese 	 جبن 	 food 
 chemical ; chemic 	 كيميائي 	 adjective 
 chemical ; chemical substance 	 كيميائي 	 material 
 chemical element ; element 	 عنصر 	 material 
 chemistry ; chemical science 	 كيمياء 	 science 
 chest 	 صندوق 	 object 
 chief ; main ; primary ; principal ; master 	 رئيسي 	 adjective 
 child ; kid 	 ولد 	 nature 
 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 طِفلٌ (صبي أو بِنت) 	 family 
 chin ; mentum 	 ذقن 	 anatomy 
 chocolate 	 شوكولا 	 food 
 choice ; selection ; option ; pick 	 اختيار 	 abstract 
 choose ; take ; select ; pick out 	 يحدد 	 verb 
 church ; church building 	 كنيسة 	 city 
 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 سينما 	 city 
 circle 	 دائرة 	 mathematics 
 city ; metropolis ; urban center 	 مدينة 	 society 
 claim 	 إدِعاء 	 communication 
 claim 	 مطالبة 	 society 
 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 سري ; مستتر 	 adjective 
 class ; form ; grade ; course 	 صنف 	 art 
 classify ; class ; sort ; assort ; sort out ; separate 	 رتب 	 verb 
 clean 	 نظيف 	 adjective 
 clean ; make clean 	 نظف 	 verb 
 clear 	 صافي 	 adjective 
 clock 	 ساعة 	 device 
 close ; shut 	 أغلق 	 verb 
 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 ملابِس، ألبِسه، أغطِيه 	 clothes 
 cloud 	 سحاب 	 nature 
 club 	 النادي 	 object 
 club ; social club ; society ; guild ; gild ; lodge ; order 	 نادٍ 	 society 
 coal 	 فحم 	 material 
 coat 	 معطف 	 clothes 
 coffee ; java 	 قهوة 	 food 
 cognition ; knowledge ; noesis 	 معرفة 	 education 
 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 لفافة 	 object 
 cold 	 بارد 	 adjective 
 cold ; common cold 	 زكام 	 medicine 
 coldness ; cold ; low temperature ; frigidity ; frigidness 	 برد 	 nature 
 collar ; neckband 	 ياقة 	 clothes 
 color ; colour 	 ملون 	 adjective 
 color ; colour ; coloring ; colouring 	 لون 	 art 
 coloring material ; colouring material ; color ; colour 	 لون ; مادة تلوين 	 art 
 come ; come up 	 جاء 	 verb 
 committee ; commission 	 مبعوث 	 society 
 common 	 شائع 	 adjective 
 common ; mutual 	 مشترك 	 adjective 
 common ; usual 	 عادي 	 adjective 
 community 	 مجتمع 	 society 
 company 	 شركة 	 business 
 company ; companionship ; fellowship ; society 	 رفقة 	 society 
 compare 	 يقارِن 	 verb 
 comparison ; comparing 	 مقارنة 	 abstract 
 competition 	 منافسة 	 business 
 complete ; consummate 	 مكتمل 	 adjective 
 complete ; finish 	 أكمل 	 verb 
 complimentary ; costless ; free ; gratis ; gratuitous 	 مجاني 	 adjective 
 component ; constituent ; element ; factor ; ingredient 	 عنصر 	 mathematics 
 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 حاسوب 	 device 
 concert 	 جوقة موسيقية ; حفلة موسيقية 	 art 
 concluding ; final ; last ; terminal 	 نِهائي 	 adjective 
 condition ; status 	 شرط 	 abstract 
 confront ; face up ; face 	 واجه 	 verb 
 connection ; connexion ; connectedness 	 اتصال 	 abstract 
 connection ; connexion ; connector ; connecter ; connective 	 اتصال 	 abstract 
 conscious ; witting 	 واعي 	 adjective 
 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 تأثير 	 medicine 
 construct ; build ; make 	 يبني 	 verb 
 contend ; fight ; struggle 	 قاتل 	 verb 
 contest ; competition 	 منافسة 	 society 
 continue ; go on ; proceed ; go along ; keep 	 يستمِر 	 verb 
 contract 	 عقد، إلتِزام، تعهد، إتِفاقِيه 	 business 
 control 	 سيطرة 	 abstract 
 control ; command 	 تحكم 	 verb 
 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 حجة 	 mathematics 
 cook 	 طاهي ; طباخ 	 profession 
 cook 	 طبخ 	 verb 
 cope ; get by ; make out ; make do ; contend ; grapple ; deal ; manage 	 يتغلب على المشاكِل 	 verb 
 copy 	 نسخة 	 object 
 copy ; re-create 	 نسخ 	 verb 
 correct ; right 	 صحيح 	 adjective 
 cotton 	 قطن 	 material 
 cotton ; cotton fiber ; cotton wool 	 قطن 	 material 
 cough 	 سعل 	 verb 
 cough ; coughing 	 سعال 	 medicine 
 council 	 مجلِـس (استِشاري) 	 society 
 count ; matter ; weigh 	 يهم 	 verb 
 country ; state ; land 	 دولة 	 society 
 court ; tribunal ; judicature 	 محكمة 	 society 
 cow ; moo-cow 	 بقرة 	 animal 
 crack ; cleft ; crevice ; fissure ; scissure 	 شق 	 abstract 
 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 جريمة 	 society 
 crude ; rough 	 خشن 	 adjective 
 crush 	 حطم 	 verb 
 crush ; crunch ; compaction 	 سحق 	 abstract 
 cry ; outcry ; call ; yell ; shout ; vociferation 	 صياح 	 communication 
 cry ; weep 	 بكى 	 verb 
 culture ; civilization ; civilisation 	 حضاره 	 society 
 cup 	 قدح 	 food 
 cup ; loving cup 	 كأس 	 object 
 cupboard ; closet 	 خِزانه 	 house 
 current 	 حالي 	 adjective 
 current ; electric current 	 تيار كهربائي 	 nature 
 current ; stream 	 تيار 	 nature 
 curtain ; drape ; drapery ; mantle ; pall 	 ستارة 	 house 
 curvature ; curve 	 منحنى 	 mathematics 
 curve ; curved shape 	 منحنى 	 art 
 customer ; client 	 زبون 	 business 
 cut 	 قطع 	 verb 
 cut ; cutting 	 قطع 	 abstract 
 damage 	 آذى 	 verb 
 damage ; harm ; impairment 	 أذية ; ضرر 	 transport 
 dance ; trip the light fantastic ; trip the light fantastic toe 	 رقص 	 verb 
 dance band ; band ; dance orchestra 	 فرقة 	 art 
 danger 	 خطر 	 abstract 
 dangerous ; unsafe 	 خطِر 	 adjective 
 dark 	 مظلم 	 adjective 
 data ; information 	 معطيات، بيانات 	 communication 
 date ; appointment ; engagement 	 موعد 	 relations 
 date ; day of the month 	 تاريخ 	 time 
 daughter ; girl 	 ابنة 	 family 
 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 يوم 	 nature 
 daze ; shock ; stupor 	 صدمة 	 abstract 
 dead 	 ميت 	 adjective 
 dead 	 ميت 	 society 
 death 	 موت 	 nature 
 decide ; make up one's mind ; determine 	 يقرِر 	 verb 
 decision ; determination ; conclusion 	 قرار 	 communication 
 decoration ; ornament ; ornamentation 	 زخرفة 	 object 
 degree 	 درجة 	 linguistics 
 degree ; grade ; level 	 مستوى 	 linguistics 
 delicate 	 لذيذ 	 adjective 
 delicate ; fragile ; frail 	 هش 	 adjective 
 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 سلوك 	 abstract 
 democracy ; republic ; commonwealth 	 جمهورية 	 society 
 department ; section 	 قسم 	 society 
 deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry 	 تعيس 	 adjective 
 depository financial institution ; bank ; banking concern ; banking company 	 مصرف 	 city 
 describe ; depict ; draw 	 يصِف 	 verb 
 design ; designing 	 تصميم 	 abstract 
 design ; plan 	 صمم 	 verb 
 desire ; want 	 أراد 	 verb 
 desk 	 مكتب 	 house 
 despite 	 بغض النظر عن 	 preposition 
 destruction ; devastation 	 تدمير 	 abstract 
 detail ; particular ; item 	 تفصيل 	 logistics 
 detect ; observe ; find ; discover ; notice 	 يكتشِف 	 verb 
 development ; evolution 	 تطوير ; تطور 	 nature 
 dictionary ; lexicon 	 قاموس ; قاموس ؛ معجم 	 linguistics 
 die ; decease ; perish ; go ; exit ; pass away ; expire ; pass ; kick the bucket ; cash in one's chips ; buy the farm ; conk ; give-up the ghost ; drop dead ; pop off ; choke ; croak ; snuff it 	 يموت 	 verb 
 difference 	 إختِلاف 	 abstract 
 different 	 مختلف 	 adjective 
 difficult ; hard 	 صعب 	 adjective 
 difficulty 	 صعوبه 	 abstract 
 direction 	 اتجاه 	 mathematics 
 directly ; straight ; direct 	 مباشرة 	 adverb 
 director ; manager ; managing director 	 مدير 	 profession 
 dirty ; dingy ; muddied ; muddy 	 قاتم ; قذر 	 adjective 
 dirty ; soiled ; unclean 	 وسخ 	 adjective 
 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 مجال 	 linguistics 
 discover ; find 	 يكتشِف 	 verb 
 discovery ; find ; uncovering 	 اكتشاف 	 society 
 discussion ; give-and-take ; word 	 مناقشة 	 communication 
 disease 	 مرض 	 medicine 
 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 طرد 	 verb 
 distance 	 مسافة 	 mathematics 
 diverseness ; diversity ; multifariousness ; variety 	 الاختلاف 	 art 
 divide ; split ; split up ; separate ; dissever ; carve up 	 فصل 	 verb 
 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 تقسيم 	 mathematics 
 doctor ; doc ; physician ; MD ; Dr. ; medico 	 طبيب 	 profession 
 dog ; domestic dog ; Canis familiaris 	 كلب 	 animal 
 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 تحكم 	 abstract 
 dominion ; rule 	 حكم 	 society 
 door 	 باب 	 house 
 doubt 	 شك 	 verb 
 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 شك 	 communication 
 down 	 أسفل 	 adjective 
 down ; downwards ; downward ; downwardly 	 أسفل 	 adverb 
 drawer 	 درج 	 house 
 drink ; imbibe 	 شرب 	 verb 
 drive 	 يسوق 	 verb 
 drop ; drib ; driblet 	 قطرة 	 object 
 dry 	 جاف 	 adjective 
 dry ; dry out 	 جف 	 verb 
 dry ; dry out 	 جفف 	 verb 
 during 	 خلال 	 preposition 
 dust 	 غبار 	 material 
 duty 	 واجب 	 abstract 
 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 منزل 	 house 
 each 	 كل 	 adjective 
 ear 	 أذن 	 anatomy 
 earlier ; before 	 قبل 	 adverb 
 early 	 مبكر 	 adjective 
 early on ; early 	 باكراً 	 adverb 
 earth ; ground 	 أرض 	 material 
 east 	 شرقي 	 adjective 
 east ; due east ; eastward ; E 	 شرق 	 logistics 
 easy 	 سهل 	 adjective 
 eat 	 أكل 	 verb 
 economic 	 إقتِصادي 	 adjective 
 economic ; economical 	 مقتصِد 	 adjective 
 economy ; economic system 	 إقتِصاد الدوله 	 business 
 edge ; border 	 حافة 	 mathematics 
 education 	 تعليم 	 education 
 education 	 تعليم 	 society 
 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 تعليم 	 education 
 effort ; elbow grease ; exertion ; travail ; sweat 	 جهد 	 abstract 
 egg 	 بيضة 	 food 
