http://www.cs.cmu.edu/afs/cs/user/lsl/Nice/Urdu-MT/data/mono-pos-lexicon.filtered
Direct Copy
عبد الشير
عبد الصادق
عبد الصالح
عبد الصبور
عبد الصداح
عبد الصطفي
عبد الصفا
عبد الصمد
عبد الصمداوسلو
عبد الصمدكا
عبد الطفيل
عبد الطيب
عبد الطيف
عبد الطيف
عبد الظاهر
عبد الظهور
عبد العاصم
عبد العزيز
عبد العزير
عبد العزيز
عبد العزيزجو
عبد العزيزحكيم
عبد العزيزكي
عبد العزيز
عبد العظيم
عبد العلي
عبد العليم
عبد العي
عبد الغفار
عبد الغفارمحمد
عبد الغفور
عبد الغفورحيدري
عبد الغفورٹورانٹو
عبد الغفوركينيڈا
عبد الغني
عبد الغي
عبد الغياث
عبد الغيت
عبد الفاروق
عبد الفتاح
عبد الفتح
عبد الفردوس
عبد الفطر
عبد القادر
عبد القادرگرعبد الرحيم
عبد القادرگيلاني
عبد القادير
عبد القاهر
عبد القدر
عبد القدوس
عبد القدير
عبد القدير
عبد القدير”
عبد القدر
عبد القهار
عبد القيوم
عبد الكلام
عبد اللطيف
عبد اللطيف
عبد الله
عبد اللهكويت
عبد الله
عبد اللهبٹ
عبد اللهساله
عبد الليف
عبد الماجد
عبد الماجدبھٹي
عبد الماجدبھٹينمائنده
عبد المالك
عبد المالكنواب
عبد المتين
عبد المجيب
عبد المجيد
عبد المجيدليه
عبد المجيدملك
عبد المجيدنظاماني
عبد المجيدك
عبد المحسن
عبد المحمد
عبد المصطفى
عبد المصطفیٰ
عبد المطلب
عبد المعبود
عبد المعروف
عبد المعز
عبد المعيد
عبد المعيز
عبد المعين
عبد المقسط
عبد الملك
عبد المناف
عبد المنان
عبد المنشاء
عبد المنعم
عبد المنيب
عبد المنيبجرمني
عبد المولى
عبد المولیٰ
عبد المومن
عبد المونيم
عبد المهدي
عبد الناصر
عبد النافع
عبد النبي
عبد النصر
عبد النعيم
عبد النور
عبد الواجد
عبد الواجداين
عبد الواحد
عبد الواحدبندوكڑا
عبد الوارث
عبد الواسع
عبد الواسيع
عبد الوجد
عبد الوحاب
عبد الوحد
عبد الوحيد
عبد الوحيدكٹپر
عبد الوداني
عبد الودود
عبد الوسيع
عبد الوسيم
عبد الولي
عبد الوكيل
عبد الوهاب
عبد الّرحمن
عبد الكافي
عبد الكبر
عبد الكبير
عبد الكرنئي
عبد الكريم
عبد الكلام
عبد الكمال
عبد الھادي
عبد الهادي
عبد الي
عبد اليبد
عبد اﷲ
عبد جعفر
عبد رالرزاق
عبد رحيموف
عبد رمنوبھائي
عبد روف
عبد لالله
عبد لجليل
عبد لحامد
عبد لحفيظ
عبد لحميد
عبد لرحيم
عبد لرزاق
عبد لستار
عبد لستارايدھي
عبد لصمد
عبد لطيف
عبد لعزيز
عبد لغفور
عبد لقدير
عبد لقيوم
عبد لله
عبد لمجيد
عبد لملك
عبد لنصر
عبد لواحد
عبد لواسع
عبد لوحيد
عبد لكريم
عبد واحاب
عبيد الحق
عبيد الرحمان
عبيد الرحمن
عبيد الله
ابو اب
ابو اعظم
ابو الاثر
ابو الاعلى
ابو الاعلیٰ
ابو الانعام
ابو الحسن
ابو الحكم
ابو الخصيب
ابو الخير
ابو الخيرامير
ابو الغيظ
ابو الغيث
ابو الفتوح
ابو الفرج
ابو الفضل
ابو القاسم
ابو الليث
ابو الليل
ابو المكرم
ابو الكلام
ابو الهاشم
ابو اليث
ابو بكر
ابو بكر
ابو بكرالبشير
ابو بكرالبشيركے
ابو بكرصديق
ابو بكر
ابو بي
ابو تراب
ابو ترابي
ابو جا
ابو جاٹي
ابو جت
ابو جعفر
ابو جھ
ابو جه
ابو جهل
ابو حمزه
ابو حنيفه
ابو خوسه
ابو داؤد
ابو ذر
ابو ذر
ابو رباور
ابو رش
ابو رشن
ابو زبيده
ابو زر
ابو زهري
ابو زيد
ابو زيده
ابو زين
ابو سالم
ابو سفيان
ابو سفيان
ابو سلام
ابو سليم
ابو سياف
ابو سيتا
ابو طالب
ابو طلحه
ابو ظبي
ابو ظبيمتحده
ابو ظهبي
ابو ظهبيٹي
ابو ظهي
ابو عارف
ابو عاصم
ابو عبد الرحمن
ابو عزام
ابو غرائب
ابو غريب
ابو غريب
ابو غنيم
ابو فراج
ابو قتاده
ابو قدامه
ابو ليث
ابو ماذن
ابو مازن
ابو مجاهد
ابو محسن
ابو محمد
ابو مرضو
ابو مسلم
ابو مصائب
ابو مصاب
ابو مصعب
ابو مصيعب
ابو معصب
ابو موسى
